time,wind_speed,temp_air,ghi,dhi
2019-01-10 17:00:00+00:00,2.1913092,-0.57962036,-3.4722223e-05,0.0
2019-01-10 18:00:00+00:00,1.9090637,-0.9232483,-3.4722223e-05,0.0
2019-01-10 19:00:00+00:00,2.0402153,-0.7194519,-3.4722223e-05,0.0
2019-01-10 20:00:00+00:00,1.2265745,-0.6485901,-3.4722223e-05,0.0
2019-01-10 21:00:00+00:00,0.8709119,-1.2896729,-3.4722223e-05,0.0
2019-01-10 22:00:00+00:00,0.73812425,-1.3959656,-3.4722223e-05,0.0
2019-01-10 23:00:00+00:00,0.68346083,-1.5041809,-3.4722223e-05,0.0
2019-01-11 00:00:00+00:00,0.5586929,-1.3554688,-3.4722223e-05,0.0
2019-01-11 01:00:00+00:00,1.3612669,-1.6598816,-3.4722223e-05,0.0
2019-01-11 02:00:00+00:00,1.7316903,-1.6592407,-3.4722223e-05,0.0
2019-01-11 03:00:00+00:00,1.8422128,-1.2776489,-3.4722223e-05,0.0
2019-01-11 04:00:00+00:00,1.9843664,-1.1966248,-3.4722223e-05,0.0
2019-01-11 05:00:00+00:00,2.3881059,-1.1706848,-3.4722223e-05,0.0
2019-01-11 06:00:00+00:00,2.3475773,-1.2586365,-3.4722223e-05,0.0
2019-01-11 07:00:00+00:00,2.0785656,-1.3687744,15.8087845,15.808819
2019-01-11 08:00:00+00:00,2.339915,-1.3440857,65.45743,65.457466
2019-01-11 09:00:00+00:00,1.9995607,-1.113739,136.03444,136.02257
2019-01-11 10:00:00+00:00,1.2662662,-0.14105225,153.54507,153.5451
2019-01-11 11:00:00+00:00,1.056777,0.1222229,158.74907,152.42358
2019-01-11 12:00:00+00:00,1.5957313,0.38357544,154.59993,141.21039
2019-01-11 13:00:00+00:00,1.7817391,-0.70617676,106.34371,94.43132
2019-01-11 14:00:00+00:00,1.3460346,-1.2308044,89.64882,72.24479
2019-01-11 15:00:00+00:00,1.3330156,-1.8807373,17.440277,17.440311
2019-01-11 16:00:00+00:00,1.5640169,-2.3053894,-3.4722223e-05,0.0
2019-01-11 17:00:00+00:00,0.84336096,-3.010376,-3.4722223e-05,0.0
2019-01-11 18:00:00+00:00,0.29770443,-3.9476013,-3.4722223e-05,0.0
2019-01-11 19:00:00+00:00,0.14282693,-4.007721,-3.4722223e-05,0.0
2019-01-11 20:00:00+00:00,0.3073286,-3.7349548,-3.4722223e-05,0.0
2019-01-11 21:00:00+00:00,0.46777555,-4.931671,-3.4722223e-05,0.0
2019-01-11 22:00:00+00:00,0.54437935,-2.2085571,-3.4722223e-05,0.0
